Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,CUMMINSIND,96476,OPTSTK,PE,4050,CUMMINS INDIA LTD,CUMMINSIND OCT 4050 PE,CUMMINSIND31OCT24P4050,2024-10-31,300,0.05
NFO,nse_fo,CUMMINSIND,96478,OPTSTK,CE,4150,CUMMINS INDIA LTD,CUMMINSIND OCT 4150 CE,CUMMINSIND31OCT24C4150,2024-10-31,300,0.05
NFO,nse_fo,CUMMINSIND,96484,OPTSTK,PE,4150,CUMMINS INDIA LTD,CUMMINSIND OCT 4150 PE,CUMMINSIND31OCT24P4150,2024-10-31,300,0.05
NFO,nse_fo,CUMMINSIND,96485,OPTSTK,CE,4250,CUMMINS INDIA LTD,CUMMINSIND OCT 4250 CE,CUMMINSIND31OCT24C4250,2024-10-31,300,0.05
NFO,nse_fo,DIVISLAB,96491,OPTSTK,CE,5050,DIVI S LABORATORIES LTD,DIVISLAB NOV 5050 CE,DIVISLAB28NOV24C5050,2024-11-28,200,0.05
NFO,nse_fo,DIVISLAB,96492,OPTSTK,PE,5050,DIVI S LABORATORIES LTD,DIVISLAB NOV 5050 PE,DIVISLAB28NOV24P5050,2024-11-28,200,0.05
NFO,nse_fo,DIVISLAB,96501,OPTSTK,CE,5150,DIVI S LABORATORIES LTD,DIVISLAB NOV 5150 CE,DIVISLAB28NOV24C5150,2024-11-28,200,0.05
NFO,nse_fo,DIVISLAB,96502,OPTSTK,PE,5150,DIVI S LABORATORIES LTD,DIVISLAB NOV 5150 PE,DIVISLAB28NOV24P5150,2024-11-28,200,0.05
NFO,nse_fo,DIVISLAB,96511,OPTSTK,CE,5250,DIVI S LABORATORIES LTD,DIVISLAB NOV 5250 CE,DIVISLAB28NOV24C5250,2024-11-28,200,0.05
NFO,nse_fo,DIVISLAB,96512,OPTSTK,PE,5250,DIVI S LABORATORIES LTD,DIVISLAB NOV 5250 PE,DIVISLAB28NOV24P5250,2024-11-28,200,0.05
NFO,nse_fo,DIVISLAB,96521,OPTSTK,CE,5350,DIVI S LABORATORIES LTD,DIVISLAB NOV 5350 CE,DIVISLAB28NOV24C5350,2024-11-28,200,0.05
NFO,nse_fo,DIVISLAB,96522,OPTSTK,PE,5350,DIVI S LABORATORIES LTD,DIVISLAB NOV 5350 PE,DIVISLAB28NOV24P5350,2024-11-28,200,0.05
NFO,nse_fo,CUMMINSIND,96578,OPTSTK,PE,4250,CUMMINS INDIA LTD,CUMMINSIND OCT 4250 PE,CUMMINSIND31OCT24P4250,2024-10-31,300,0.05
NFO,nse_fo,RAMCOCEM,96632,OPTSTK,PE,700,THE RAMCO CEMENTS LIMITED,RAMCOCEM OCT 700 PE,RAMCOCEM31OCT24P700,2024-10-31,850,0.05
NFO,nse_fo,DIVISLAB,96635,OPTSTK,CE,5450,DIVI S LABORATORIES LTD,DIVISLAB NOV 5450 CE,DIVISLAB28NOV24C5450,2024-11-28,200,0.05
NFO,nse_fo,DIVISLAB,96636,OPTSTK,PE,5450,DIVI S LABORATORIES LTD,DIVISLAB NOV 5450 PE,DIVISLAB28NOV24P5450,2024-11-28,200,0.05
NFO,nse_fo,DIVISLAB,96637,OPTSTK,CE,5550,DIVI S LABORATORIES LTD,DIVISLAB NOV 5550 CE,DIVISLAB28NOV24C5550,2024-11-28,200,0.05
NFO,nse_fo,DIVISLAB,96638,OPTSTK,PE,5550,DIVI S LABORATORIES LTD,DIVISLAB NOV 5550 PE,DIVISLAB28NOV24P5550,2024-11-28,200,0.05
NFO,nse_fo,DIVISLAB,96639,OPTSTK,CE,5650,DIVI S LABORATORIES LTD,DIVISLAB NOV 5650 CE,DIVISLAB28NOV24C5650,2024-11-28,200,0.05
NFO,nse_fo,DIVISLAB,96640,OPTSTK,PE,5650,DIVI S LABORATORIES LTD,DIVISLAB NOV 5650 PE,DIVISLAB28NOV24P5650,2024-11-28,200,0.05
NFO,nse_fo,DIVISLAB,96641,OPTSTK,CE,5750,DIVI S LABORATORIES LTD,DIVISLAB NOV 5750 CE,DIVISLAB28NOV24C5750,2024-11-28,200,0.05
NFO,nse_fo,DIVISLAB,96642,OPTSTK,PE,5750,DIVI S LABORATORIES LTD,DIVISLAB NOV 5750 PE,DIVISLAB28NOV24P5750,2024-11-28,200,0.05
NFO,nse_fo,DIVISLAB,96643,OPTSTK,CE,5850,DIVI S LABORATORIES LTD,DIVISLAB NOV 5850 CE,DIVISLAB28NOV24C5850,2024-11-28,200,0.05
NFO,nse_fo,DIVISLAB,96644,OPTSTK,PE,5850,DIVI S LABORATORIES LTD,DIVISLAB NOV 5850 PE,DIVISLAB28NOV24P5850,2024-11-28,200,0.05
NFO,nse_fo,RAMCOCEM,96646,OPTSTK,PE,720,THE RAMCO CEMENTS LIMITED,RAMCOCEM OCT 720 PE,RAMCOCEM31OCT24P720,2024-10-31,850,0.05
NFO,nse_fo,RAMCOCEM,96647,OPTSTK,CE,740,THE RAMCO CEMENTS LIMITED,RAMCOCEM OCT 740 CE,RAMCOCEM31OCT24C740,2024-10-31,850,0.05
NFO,nse_fo,RAMCOCEM,96648,OPTSTK,PE,740,THE RAMCO CEMENTS LIMITED,RAMCOCEM OCT 740 PE,RAMCOCEM31OCT24P740,2024-10-31,850,0.05
NFO,nse_fo,RAMCOCEM,96649,OPTSTK,CE,760,THE RAMCO CEMENTS LIMITED,RAMCOCEM OCT 760 CE,RAMCOCEM31OCT24C760,2024-10-31,850,0.05
NFO,nse_fo,RAMCOCEM,96650,OPTSTK,PE,760,THE RAMCO CEMENTS LIMITED,RAMCOCEM OCT 760 PE,RAMCOCEM31OCT24P760,2024-10-31,850,0.05
NFO,nse_fo,RAMCOCEM,96651,OPTSTK,CE,780,THE RAMCO CEMENTS LIMITED,RAMCOCEM OCT 780 CE,RAMCOCEM31OCT24C780,2024-10-31,850,0.05
NFO,nse_fo,RAMCOCEM,96652,OPTSTK,PE,780,THE RAMCO CEMENTS LIMITED,RAMCOCEM OCT 780 PE,RAMCOCEM31OCT24P780,2024-10-31,850,0.05
NFO,nse_fo,CUMMINSIND,96664,OPTSTK,CE,3200,CUMMINS INDIA LTD,CUMMINSIND NOV 3200 CE,CUMMINSIND28NOV24C3200,2024-11-28,300,0.05
